id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,month,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
255546,SUD-2018-3-947-6,2018,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""All Africa,2018-04-10,Man Killed By RSF Militiamen in Eastern Sudan
CR 	Radio Dabanga""",All Africa,10/04/2018,"Man Killed By RSF Militiamen in Eastern Sudan
CR 	Radio Dabanga",a car owner/witness,3,Tokar district,"area south of Dorta in Tokar locality,

Tokar in Red Sea state",Red Sea state,Tokar district,17.878383,37.370178,POINT (37.370178 17.878383),155235,Sudan,625,Africa,1,1,4,07/04/2018,07/04/2018,0,0,1,0,1,1,1,625,
255564,SUD-2018-1-666-10,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,2,"""All Africa,2018-04-21,Darfur Rebels Claim Deadly Attack On Sudanese Army
CR 	Radio Dabanga"";""Sudan Tribune,2018-04-27,SLM-TC confirms clashes in Darfur's Jebel Marra with Sudanese forces""",All Africa;Sudan Tribune,2018-04-21;2018-04-27,"Darfur Rebels Claim Deadly Attack On Sudanese Army
CR 	Radio Dabanga;SLM-TC confirms clashes in Darfur's Jebel Marra with Sudanese forces",Sudan Liberation Movement (SLM-AW),2,Tura village,"Torong Tura. 

in Jebel Marra",Central Darfur state,Rokoro district,13.25554,24.3376,POINT (24.3376 13.25554),148729,Sudan,625,Africa,1,1,4,18/04/2018,18/04/2018,0,0,0,0,0,27,0,625,
255567,SUD-2018-3-947-25,2018,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,2,"""All Africa,2018-04-23,Gunmen Abduct Two Children in Darfur's Jebel Marra
CR 	Radio Dabanga"";""African Centre for Justice and Peace Studies,2018-04-18,Attacks by Sudanese government forces on civilians in Jebel Marra in South Darfur""",All Africa;African Centre for Justice and Peace Studies,2018-04-23;2018-04-18,"Gunmen Abduct Two Children in Darfur's Jebel Marra
CR 	Radio Dabanga;Attacks by Sudanese government forces on civilians in Jebel Marra in South Darfur",Radio Dabanga,2,Dobo Omda village,15 km south of Dubo El Omda,North Darfur state,Kebkabiya district,13.148786,24.743967,POINT (24.743967 13.148786),148730,Sudan,625,Africa,1,1,4,04/04/2018,04/04/2018,0,0,0,0,0,1,0,625,
255568,SUD-2018-3-947-9,2018,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,2,"""African Centre for Justice and Peace Studies,2018-04-18,Attacks by Sudanese government forces on civilians in Jebel Marra in South Darfur"";""All Africa,2018-04-23,Gunmen Abduct Two Children in Darfur's Jebel Marra
CR 	Radio Dabanga""",African Centre for Justice and Peace Studies;All Africa,2018-04-18;2018-04-23,"Attacks by Sudanese government forces on civilians in Jebel Marra in South Darfur;Gunmen Abduct Two Children in Darfur's Jebel Marra
CR 	Radio Dabanga",Radio Dabanga; ACJPS,2,Dobo Omda village,"west of Dubo El Omda

in Rakoona, near Debo Alomda in East Jebel Marra",North Darfur state,Kebkabiya district,13.148786,24.743967,POINT (24.743967 13.148786),148730,Sudan,625,Africa,1,1,4,02/04/2018,02/04/2018,0,0,0,2,2,2,2,625,
255592,SUD-2018-1-666-6,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,3,"""African Centre for Justice and Peace Studies,2018-04-18,Attacks by Sudanese government forces on civilians in Jebel Marra in South Darfur"";""Radio Dabanga,2018-03-23,Darfur: Deadly fighting continues in east and south Jebel Marra"";""Sudan Tribune,2018-04-03,Displaced in Darfur""",African Centre for Justice and Peace Studies;Radio Dabanga;Sudan Tribune,2018-04-18;2018-03-23;2018-04-03,Attacks by Sudanese government forces on civilians in Jebel Marra in South Darfur;Darfur: Deadly fighting continues in east and south Jebel Marra;Displaced in Darfur,ACJPS; fleeing civilians,3,East/Sharq Jabel Marra district,"Seena area, South East of Jebel Marra",South Darfur state,East/Sharq Jabel Marra district,12.89457,24.58878,POINT (24.58878 12.89457),148010,Sudan,625,Africa,1,1,3,22/03/2018,22/03/2018,0,0,4,0,4,4,4,625,
255595,SUD-2018-3-947-7,2018,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,1,"""African Centre for Justice and Peace Studies,2018-04-18,Attacks by Sudanese government forces on civilians in Jebel Marra in South Darfur""",African Centre for Justice and Peace Studies,18/04/2018,Attacks by Sudanese government forces on civilians in Jebel Marra in South Darfur,ACJPS,5,East Jebel Marra area,"the villages of  Feina, Dalo, Dawa, Dolda , Libei, Sawani, Rabkona, Fouli, Duwa,  and Kidineer in East Jebel Marra.",,,13.166667,24.36667,POINT (24.36667 13.166667),148729,Sudan,625,Africa,1,1,3,28/03/2018,28/03/2018,0,0,3,0,3,3,3,625,
255599,SUD-2018-3-947-8,2018,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,2,"""African Centre for Justice and Peace Studies,2018-04-18,Attacks by Sudanese government forces on civilians in Jebel Marra in South Darfur"";""Sudan Tribune,2018-04-03,SLM-AW says clashes with Sudanese forces continue in Jebel Marra""",African Centre for Justice and Peace Studies;Sudan Tribune,2018-04-18;2018-04-03,Attacks by Sudanese government forces on civilians in Jebel Marra in South Darfur;SLM-AW says clashes with Sudanese forces continue in Jebel Marra,"ACJPS; rebel official; ""The rebel official further accused the ""regime's militia"" of burning ""the villages and properties of the defenceless civilians in the attacked areas"", stressing it was part of a government strategy aiming to achieve ""demographic change"".""",3,East/Sharq Jabel Marra district,"area of Sawani and Rakoona.
East Jebel Marra in South Darfur state",South Darfur state,East/Sharq Jabel Marra district,12.89457,24.58878,POINT (24.58878 12.89457),148010,Sudan,625,Africa,1,1,3,31/03/2018,31/03/2018,0,0,0,16,16,16,16,625,
255607,SUD-2018-2-5584-0,2018,TRUE,Clear,2,5584,4974,Misseriya - Ngok Dinka,5584,5584,Misseriya - Ngok Dinka,1025,1025,Misseriya,1005,1005,Ngok Dinka,1,"""UN,2018-04-03,Report of the Secretary-General on the situation in Abyei""",UN,03/04/2018,Report of the Secretary-General on the situation in Abyei,UNSG,1,Amiet town,"near the Amiet common market,",West Kordofan state,Abyei - Muglad district,9.713924,28.467293,POINT (28.467293 9.713924),143697,Sudan,625,Africa,1,1,1,22/01/2018,22/01/2018,0,2,0,0,2,2,2,,
256608,SUD-2018-1-666-12,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,2,"""All Africa,2018-05-16,Thousands Newly Displaced By Jebel Marra Fighting
CR 	Radio Dabanga"";""Sudan Tribune,2018-05-12,SLM-AW says repulsed government attack in Jebel Marra""",All Africa;Sudan Tribune,2018-05-16;2018-05-12,"Thousands Newly Displaced By Jebel Marra Fighting
CR 	Radio Dabanga;SLM-AW says repulsed government attack in Jebel Marra",IDPs; SLM-AW military spokesperson Walid Mohamed Abakar (aka Tongo),3,East/Sharq Jabel Marra district,"villages in southern Jebel Marra

Kara area",South Darfur state,East/Sharq Jabel Marra district,12.89457,24.58878,POINT (24.58878 12.89457),148010,Sudan,625,Africa,1,1,5,11/05/2018,11/05/2018,2,0,0,0,2,2,2,625,
256627,SUD-2018-3-947-11,2018,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,5,"""All Africa,2018-07-02,'Downsizing UNAMID Not an Option Amid Ongoing Attacks in Darfur' - Amnesty
CR 	Radio Dabanga"";""All Africa,2018-06-09,Parliament Hearing On Central Darfur Camp Attack - 'Situation Stable'
CR 	Radio Dabanga"";""All Africa,2018-05-23,Militia Shooting in Central Darfur Camp Leaves One Dead
CR 	Radio Dabanga"";""All Africa,2018-05-24,MP Asks Sudan Parliament to Summon Interior Minister Over Zalingei Shooting
CR 	Radio Dabanga"";""Sudan Tribune,2018-05-22,One displaced woman killed by Sudanese militia in C. Darfur camp""",All Africa;All Africa;All Africa;All Africa;Sudan Tribune,2018-07-02;2018-06-09;2018-05-23;2018-05-24;2018-05-22,"'Downsizing UNAMID Not an Option Amid Ongoing Attacks in Darfur' - Amnesty
CR 	Radio Dabanga;Parliament Hearing On Central Darfur Camp Attack - 'Situation Stable'
CR 	Radio Dabanga;Militia Shooting in Central Darfur Camp Leaves One Dead
CR 	Radio Dabanga;MP Asks Sudan Parliament to Summon Interior Minister Over Zalingei Shooting
CR 	Radio Dabanga;One displaced woman killed by Sudanese militia in C. Darfur camp","Central Darfur camps, El Shafee Abdallah; Minister of Interior Ibrahim Mahmoud; Joan Nyanyuki, Amnesty International's Director for East Africa, the Horn and the Great Lakes: Member of the IDPs and Refugees Association Idris Salih; Meanwhile, the commissioner of Zalingei locality and head of the security committee Khalid Bilal Ahmed",2,Zalingei town,"Zalingei, Central Darfur, 

Khamsa Dagayeg camp in Zalingei,",Central Darfur state,Zalingei district,12.883333,23.466667,POINT (23.466667 12.883333),148007,Sudan,625,Africa,1,1,5,21/05/2018,21/05/2018,0,0,1,0,1,1,1,625,
256629,SUD-2018-1-666-13,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,3,"""All Africa,2018-05-25,Fierce Clashes Between RSF and SLM-AW in Jebel Marra
CR 	Radio Dabanga"";""All Africa,2018-05-28,Ongoing Clashes Between RSF, Rebels in Darfur's Jebel Marra
CR 	Radio Dabanga"";""Sudan Tribune,2018-05-28,Fighting flares up in Jebel Marra, as IDPs continue to flee""",All Africa;All Africa;Sudan Tribune,2018-05-25;2018-05-28;2018-05-28,"Fierce Clashes Between RSF and SLM-AW in Jebel Marra
CR 	Radio Dabanga;Ongoing Clashes Between RSF, Rebels in Darfur's Jebel Marra
CR 	Radio Dabanga;Fighting flares up in Jebel Marra, as IDPs continue to flee","Waleed Abakar, rebel spokesman; Adam Abkar Guiga, a humanitarian representative of internally displaced persons (IDPs) in Darfur; Eye Witnesses in Nyala and Zalingei",3,East/Sharq Jabel Marra district,Kobo in southern Jebel Marra,South Darfur state,East/Sharq Jabel Marra district,12.89457,24.58878,POINT (24.58878 12.89457),148010,Sudan,625,Africa,1,2,5,23/05/2018,24/05/2018,0,0,0,14,14,14,14,625,
256631,SUD-2018-3-947-12,2018,TRUE,Clear,3,112,480,Government of Sudan - Civilians,112,947,Government of Sudan - Civilians,112,112,Government of Sudan,9999,1,Civilians,3,"""All Africa,2018-05-25,Militia Attack Central Darfur Camp - Three Displaced Dead, 12 Injured
CR 	Radio Dabanga"";""All Africa,2018-05-28,Higher Toll of Wounded in Central Darfur Camp Attack
CR 	Radio Dabanga"";""Amnesty International,2018-06-28,SUDAN: DOWN-SIZED UN MISSION FOR AN OVER-SIZED HUMAN RIGHTS CRISIS """,All Africa;All Africa;Amnesty International,2018-05-25;2018-05-28;2018-06-28,"Militia Attack Central Darfur Camp - Three Displaced Dead, 12 Injured
CR 	Radio Dabanga;Higher Toll of Wounded in Central Darfur Camp Attack
CR 	Radio Dabanga;SUDAN: DOWN-SIZED UN MISSION FOR AN OVER-SIZED HUMAN RIGHTS CRISIS","El Shafee Abdallah, the coordinator of Central Darfur camps; witnesses",1,Garsila town,"Ardayba and Jedda IDP camps in the city of Garsila, in central Darfur State.",Central Darfur state,Wadi Salih district,12.366667,23.133333,POINT (23.133333 12.366667),147287,Sudan,625,Africa,2,2,5,22/05/2018,23/05/2018,0,0,5,0,5,5,5,625,
256637,SUD-2018-2-5584-1,2018,TRUE,Clear,2,5584,4974,Misseriya - Ngok Dinka,5584,5584,Misseriya - Ngok Dinka,1025,1025,Misseriya,1005,1005,Ngok Dinka,1,"""All Africa,2018-05-28,Violent Herder Clashes in Darfur, Abyei
CR 	Radio Dabanga""",All Africa,28/05/2018,"Violent Herder Clashes in Darfur, Abyei
CR 	Radio Dabanga",Dr Hasan Mohamed,3,Abyei district,Abyei,West Kordofan state,Abyei district,9.595,28.436,POINT (28.436 9.595),143697,Sudan,625,Africa,1,1,5,24/05/2018,24/05/2018,0,0,0,2,2,2,0,,
256640,SUD-2018-1-666-14,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,2,"""All Africa,2018-05-29,New Attacks On Rebel Sites in Darfur's Jebel Marra
CR 	Radio Dabanga"";""Sudan Tribune,2018-05-25,Sudan military, rebels clash in Jebel Marra: statement""",All Africa;Sudan Tribune,2018-05-29;2018-05-25,"New Attacks On Rebel Sites in Darfur's Jebel Marra
CR 	Radio Dabanga;Sudan military, rebels clash in Jebel Marra: statement","Waleed Abakar, the military spokesman for the SLM-AW,",2,Kass town,"Gogo and Kor, 4 km north of Kass in South Darfur",South Darfur state,Kass district,12.5,24.283333,POINT (24.283333 12.5),148009,Sudan,625,Africa,2,2,5,26/05/2018,27/05/2018,0,0,0,27,27,27,1,625,
258361,SUD-2018-2-15074-3,2018,FALSE,Clear,2,15074,13922,Fulani - Masalit,15074,15074,Fulani - Masalit,607,607,Fulani,993,993,Masalit,2,"""All Africa,2018-06-11,Three Men Killed in Gireida, South Darfur
CR 	Radio Dabanga"";""Sudan Tribune,2018-06-08,Tribal militiamen kill two villagers in South Darfur""",All Africa;Sudan Tribune,2018-06-11;2018-06-08,"Three Men Killed in Gireida, South Darfur
CR 	Radio Dabanga;Tribal militiamen kill two villagers in South Darfur",listener; eyewitness,2,Idan village,"Idan village, in Gireida locality,",South Darfur state,Gerida district,11.13333,25.06667,POINT (25.06667 11.13333),145851,Sudan,625,Africa,1,1,6,07/06/2018,07/06/2018,0,1,0,1,2,2,0,,
258369,SUD-2018-1-666-16,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,3,"""All Africa,2018-06-18,Six Civilians Killed in Ongoing Jebel Marra Clashes
CR 	Radio Dabanga"";""All Africa,2018-06-15,Darfur Rebels - 'Retreating Militiamen' Burn Six Villages in Ongoing Jebel Marra Battle
CR 	Radio Dabanga"";""UN Security Council,2018-10-12,African Union-United Nations Hybrid Operation in Darfur: Report of the Secretary-General""",All Africa;All Africa;UN Security Council,2018-06-18;2018-06-15;2018-10-12,"Six Civilians Killed in Ongoing Jebel Marra Clashes
CR 	Radio Dabanga;Darfur Rebels - 'Retreating Militiamen' Burn Six Villages in Ongoing Jebel Marra Battle
CR 	Radio Dabanga;African Union-United Nations Hybrid Operation in Darfur: Report of the Secretary-General","Waleed Mohamed Abakar, the SLM-AW military spokesman; local sources; UNSG",2,Saboun El Fagur area,near Saboun El Fagor in south Jebel Marra.,South Darfur state,Kass district,12.8602,24.3805,POINT (24.3805 12.8602),148009,Sudan,625,Africa,1,1,6,12/06/2018,12/06/2018,0,0,0,0,0,87,0,625,
258376,SUD-2018-1-666-21,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,1,"""All Africa,2018-06-18,Six Civilians Killed in Ongoing Jebel Marra Clashes
CR 	Radio Dabanga""",All Africa,18/06/2018,"Six Civilians Killed in Ongoing Jebel Marra Clashes
CR 	Radio Dabanga","Waleed Mohamed Abakar, the spokesman of the Sudan Liberation Movement-Abdelwahid El Nur (SLM-AW); local sources",2,Fuju villages,"villages of Fuju, in east western Jebel Marra,",Central Darfur state,Nertiti district,12.857383,24.097238,POINT (24.097238 12.857383),148009,Sudan,625,Africa,1,1,6,13/06/2018,13/06/2018,0,0,2,0,2,2,2,625,
258384,SUD-2018-1-666-20,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,1,"""All Africa,2018-06-18,Six Civilians Killed in Ongoing Jebel Marra Clashes
CR 	Radio Dabanga""",All Africa,18/06/2018,"Six Civilians Killed in Ongoing Jebel Marra Clashes
CR 	Radio Dabanga","local sources; Waleed Mohamed Abakar, the spokesman of the Sudan Liberation Movement-Abdelwahid El Nur (SLM-AW),",2,Guldo town,"Berbera
east of Guldo",Central Darfur state,Nertiti district,13.13333,24.15,POINT (24.15 13.13333),148729,Sudan,625,Africa,1,1,6,13/06/2018,13/06/2018,0,0,2,0,2,2,2,625,
258441,SUD-2018-1-666-22,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,2,"""All Africa,2018-07-02,Darfur Rebels Claim Repelling Military Attack in Jebel Marra
CR 	Radio Dabanga"";""UN Security Council,2018-10-12,African Union-United Nations Hybrid Operation in Darfur: Report of the Secretary-General""",All Africa;UN Security Council,2018-07-02;2018-10-12,"Darfur Rebels Claim Repelling Military Attack in Jebel Marra
CR 	Radio Dabanga;African Union-United Nations Hybrid Operation in Darfur: Report of the Secretary-General",SLM/A spokesman Walid Mohamed Abakar; UNSG,2,Boulay village,Buli and Aja in northern Jebel Marra,Central Darfur state,Rokoro district,13.347468,24.345325,POINT (24.345325 13.347468),148729,Sudan,625,Africa,1,1,6,28/06/2018,28/06/2018,0,0,0,1,1,79,1,625,
260341,SUD-2018-1-666-3,2018,TRUE,Clear,1,309,309,Sudan: Government,666,666,Government of Sudan - SLM/A,112,112,Government of Sudan,469,469,SLM/A,2,"""Sudan Tribune,2018-06-28,SUDAN: DOWN-SIZED UN MISSION FOR AN OVER-SIZED HUMAN RIGHTS CRISIS "";""Sudan Tribune,2018-05-21,Sudan defence ministry admits clashes in C. Darfur""",Sudan Tribune;Sudan Tribune,2018-06-28;2018-05-21,SUDAN: DOWN-SIZED UN MISSION FOR AN OVER-SIZED HUMAN RIGHTS CRISIS ;Sudan defence ministry admits clashes in C. Darfur,survivor; Minister of State for Defence Ali Mohamed Salim,1,Feina Sug village,Feina,South Darfur state,East/Sharq Jabel Marra district,12.859881,24.513762,POINT (24.513762 12.859881),148010,Sudan,625,Africa,1,4,3,01/03/2018,10/03/2018,0,0,3,0,3,3,3,625,
