med_event_ID,conflict_country,conflict_counry_ID,conflict_id,med_location - MULTISELECT,med_loc_cty,med_loc_x,med_loc_y,Day,Month,Year,third_party,third_party_id_GLOPAD,third_party_id,third_party_id_PAX,num_med,med_scope,individual_med_named,groupings_mechanisms,local_parties,local_party_id,local_indiv_group,num_local,if_loc_belig,agmt,agmt_name,agmt_id_PAX,Summary,source_urls,shuttle,med_type
SUD201906-15,Sudan,625,,Berlin,Germany,13.405,52.52,21,6,2019,United Kingdom; Norway; Germany; France; Egypt; Ethiopia; Qatar; Saudi Arabia; UAE; African Union; EU; UN,CON_19;CON_81;CON_2;CON_7;CON_82;CON_159;CON_486;CON_419;CON_591;IGO_87;IGO_5;IGO_49,CON_19;CON_81;CON_2;CON_7;CON_82;CON_159;CON_486;CON_419;CON_591;IGO_87;IGO_5;IGO_49,200;385;255;220;651;530;694;670;696;;;,12,H,Heiko Maas; Philipp AkcerMRnn,Troika,,,,0,,0,,,"On June 21, the Federal Foreign Office in Berlin hosted a private, informal coordination meeting to discuss the situation in Sudan. This meeting, the first of its kind, brought together special envoys, ambassadors, and senior officials from key international partners and regional stakeholders, including the United States, the United Kingdom, Norway, Germany, France, Egypt, Ethiopia, Qatar, Saudi Arabia, the United Arab Emirates, the African Union, European Union, and the United Nations.The primary aim of the meeting was to unify support for ongoing mediation efforts by the African Union, United Nations, and Ethiopia, with a focus on preventing further violence and fostering a political settlement. The agenda also covered the Humanitarian crisis in Sudan and explored ways to support the country through its economic challenges, contingent upon establishing a civilian-led transitional government that reflects the will of the Sudanese people.International partners, including the Sudan Troika (USA, the UK, and Norway), as well as Saudi Arabia, the United Arab Emirates, and Egypt, which are backing the military junta, commended the African Union's leadership in addressing the political crisis. Ambassador Philipp Ackermann, Director-General for Africa, Near and Middle East, Africa, and Latin America at the German Foreign Office, chaired the meeting.Ackermann emphasized the tragedy of the events on June 3 and underscored the need to prevent further violence and hold those responsible accountable. The partners agreed on the importance of unified and coordinated mediation efforts to support negotiations aimed at forming a civilian-led transitional government acceptable to the Sudanese people. They also highlighted that establishing such a government would be crucial for facilitating economic and technical support for Sudan and ensuring the country's political stability.",https://www.africa-newsroom.com/press/statement-by-foreign-minister-heiko-maas-on-the-informal-coordination-meeting-on-the-sudan;https://www.dabangasudan.org/en/all-news/article/sudan-s-alliance-for-freedom-and-change-meets-au-commissioner,0,MR
SUD201906-16,Sudan,625,,Addis Ababa,Ethiopia,38.74,9.03,21,6,2019,United Kingdom; Norway; Ethiopia,CON_19;CON_81;CON_159,CON_19;CON_81;CON_159,200;385;530,3,E,Mohamed Lebatt,AU Process post-al-Bashir,Forces for Freedom and Change,NL,,1,,0,,,"On Friday, a delegation of the Alliance for Freedom and Change arrived in the Ethiopian capital Addis Ababa to meet with members of the African Union Commission and African foreign ministers. International partners of Sudan who met in the German capital on Friday commended the leading role played by the African Union for its attempts to solve the political crisis in Khartoum.The delegation consists of Maryam El Sadig, co-vice president of the National Umma Party, Wajdi Saleh, member of the National Consensus Forces, economic expert Hasan Abdelati, University Professor Montasir El Tayeb, and Moataz Saleh.The delegation met with Moussa Faki, Chairman of the African Union Commission, and his deputy Mohamed Lebatt, Envoy of the AU to Sudan, and discussed with them the developments in Sudan....In addition, the AU Envoy to Sudan announced the establishment of an international mechanism to support AU mediation in the country. Lebatt told reporters on June 13 that the international component will be composed of the Sudan Troika (USA, the UK, and Norway), the EU, and permanent members of the UN Security Council.The African mediation will consist of two tracks: The first one will be led by an AU team, the second track by the Ethiopian prime minister.",https://www.dabangasudan.org/en/all-news/article/sudan-s-alliance-for-freedom-and-change-meets-au-commissioner,0,MR
SUD201906-17,Sudan,625,,Berlin,Germany,13.405,52.52,21,6,2019,United States; United Kingdom; Norway; Germany,CON_3;CON_19;CON_81;CON_2,CON_3;CON_19;CON_81;CON_2,2;200;385;255,4,P,,,,,,0,,0,,,"The Sudan Troika (USA, the UK, and Norway) will meet in the German capital of Berlin on June 21. It will discuss the transfer of power in Sudan to a civilian government.",https://www.dabangasudan.org/en/all-news/article/sudan-troika-to-meet-in-berlin-on-june-21,0,MR
SUD201906-18,Sudan,625,,Khartoum,Sudan,32.5,15.6,22,6,2019,Ethiopia,CON_159,CON_159,530,1,P,Mahmud Dirir,Ethiopian-led IGAD Process,Forces for Freedom and Change,NL,,1,,0,,,"Sudanese protest leaders were scheduled to meet with Ethiopian envoy Mahmoud Dardir on Saturday to discuss a compromise blueprint for political transition. This document, crafted by Dardir, is currently under review by the Alliance for Freedom and Change, which represents the protest movement. The talks aim to reflect the alliance's perspective on the proposal.The Ethiopian roadmap proposes a transition to a civilian-led government, and it has been accepted by the protest movement following a prolonged standoff with Sudan's military rulers. This development comes after a violent crackdown on protesters, which led to the deaths of at least 128 people according to protest organizers, though the authorities reported a lower toll of 61, including three security personnel. The Ethiopian-led diplomatic efforts have been pivotal in resuming negotiations after the initial talks collapsed due to the crackdown.",http://www.naharnet.com/stories/en/261789;https://www.alaraby.co.uk/english/news/2019/6/22/sudan-protesters-to-meet-ethiopian-mediator-as-demonstrations-rekindle;https://www.thenews.com.pk/print/488545-sudan-protesters-to-meet-ethiopian-mediator;https://www.dtnpf.com/agriculture/web/ag/news/world-policy/article/2019/06/23/sudan-protesters-accept-plan-rule,0,MR
SUD201906-19,Sudan,625,,Khartoum,Sudan,32.5,15.6,23,6,2019,African Union,IGO_87,IGO_87,,1,P,Mohamed Lebatt,AU Process post-al-Bashir,Transitional Military Council; Forces for Freedom and Change,PAAX; NL,,2+,1,0,,,"The African Union initiative reduces the representation of the AFC in the transitional parliament to 55 per cent. Many details about the AU proposal are still unclear.The military junta and its deputy chairman Hemeti always rejected the two-third representation of the AFC in parliament. This explains, according to observers, the junta’s reservations about the Ethiopian initiative and its demand to integrate it with the African Union initiative.AU mediator Mohamed Lebatt came to Khartoum on Saturday and entered talks with all parties.",https://www.dabangasudan.org/en/all-news/article/afc-accepts-ethiopian-mediation-proposal-for-an-interim-sudanese-government,0,M
SUD201906-20,Sudan,625,,Khartoum,Sudan,32.5,15.6,24,6,2019,Ethiopia,CON_159,CON_159,530,1,H,,Ethiopian-led IGAD Process,Transitional Military Council; Forces for Freedom and Change,PAAX; NL,Babikir Feisal,2+,1,0,,,"The Alliance for Freedom and Change (AFC) accepts the Ethiopian mediation proposal on an interim government for Sudan. The Transitional Military Council (TMC) has reservations and wants the proposal to be integrated with the mediation initiative of the African Union.The spokesman for the AFC, Babikir Feisal, said that the AFC accepts all the points of the mediation proposal of the Ethiopian mediator.The Ethiopian proposal includes a Sovereign Council that consists of 15 members. Seven of them are to be civilian, seven military and the 15th member is to be an impartial civilian that both sides must agree upon. Also, the AFC would get two-third of the seats in a transitional parliament. Parliament would then be allowed to nominated a cabinet.",https://www.dabangasudan.org/en/all-news/article/afc-accepts-ethiopian-mediation-proposal-for-an-interim-sudanese-government,0,M
SUD201906-21,Sudan,625,,unknown,,,,25,6,2019,United States,CON_3,CON_3,2,1,P,Donald Booth,,Transitional Military Council; Forces for Freedom and Change,PAAX; NL,,2+,1,0,,,"June 25 (Xinhua) -- U.S. Special Envoy to Sudan Donald Booth on Tuesday held meetings with representatives from Sudan's Transitional Military Council (TMC) and the opposition Freedom and Change Alliance to push the two parties to resume talks to reach a political settlement, Sudan's Ashorooq net reported.""The consultations tend to push the two sides to resume direct talks,"" Booth was quoted in the report as saying.",http://www.xinhuanet.com/english/2019-06/26/c_138173481.htm,0,M
SUD201906-22,Sudan,625,,unknown,,,,27,6,2019,African Union; Ethiopia,IGO_87;CON_159,IGO_87;CON_159,;530,2,H,Abiy Ahmed,Joint AU-Ethiopian Initiative,Transitional Military Council; Forces for Freedom and Change,PAAX; NL,,2+,1,0,,,"The African Union (AU) and Ethiopia have developed a new blueprint for Sudan's transition to civilian rule after Sudan's ruling military council requested their unified efforts to draft a proposal. The joint proposal includes the establishment of a civilian-majority ruling council, which aligns with the demands of the protesters, though it does not address the composition of a new transitional parliament.General Shamseddine Kabbashi, spokesman for the ruling military council, indicated that while there are some observations regarding the proposal, it serves as a viable foundation for resuming negotiations to form an interim authority.The proposal, received on June 27, marks a significant step in the stalled negotiations between the military and the opposition coalition. Following the ousting of President Omar al-Bashir on April 11, the military and opposition have struggled to agree on the structure of a transitional government. The AU and Ethiopian Prime Minister Abiy Ahmed have been working to facilitate a return to direct talks between the two sides.... The AU has also suspended Sudan over transition feet dragging whiles Ethiopia waded in as a third-party mediator.Unified AU-Ethiopian mediation has submitted their proposal for #Sudan‘s political transition. Vital that the two sides, FFC and TMC, seize this opportunity to agree a deal now and build stability. Would be great for 30 June to be a day of celebration, rather than new protests.""...Protesters and opposition groups that are demanding the military hand over power to civilian rule said Thursday it received a new proposal for a transition drafted by Ethiopia and the African Union.The new proposal calls for a civilian-majority ruling council as demanded by protesters, but it fails to mention the make-up of a new transitional parliament.“The Alliance for Freedom and Change received the draft… and will be considering the proposal to make a decision,” the umbrella group said in a statement.The move comes after Sudan’s ruling generals urged mediators from the AU and Ethiopia to unify their efforts and come up with a joint proposal on the country’s transition.It entails creating a 15-member, civilian-majority governing body for a three-year transitional period.But it makes no mention of the composition of a legislative body.An earlier proposal drafted by Ethiopia had stipulated a transitional parliament of 300 lawmakers, with 67 percent of them from the Alliance for Freedom and Change.The remaining 33 percent were to be from other political groups, excluding now ousted longtime ruler Omar al-Bashir defunct National Congress Party....Kabbashi had earlier said the Transitional Military Council, TMC, had not even looked at the Ethiopian plan because it was from only one stakeholder.Ethiopian Prime Minister Abiy Ahmed was in Khartoum earlier this month after special forces forcibly broke up a sit-in killing hundreds and injuring many more.The junta and protest leaders had cut all contact despite Abiy’s envoy managing to secure an agreement for resumption. The protesters have since called for a mediator saying they had lost trust in the TMC.An earlier proposal by Abiy Ahmed had been accepted by the protesters but rejected by the military. The new joint proposal from the AU and Ethiopia now aims to provide a basis for renewed negotiations, with the goal of establishing a civilian-led transitional administration in Sudan.",https://www.france24.com/en/20190629-sudan-generals-say-au-ethiopian-plan-basis-talks-with-protesters;http://www.digitaljournal.com/news/world/sudan-generals-say-au-ethiopian-plan-basis-for-talks-with-protesters/article/553015;https://www.africanews.com/2019/06/29/sudan-s-army-accepts-au-ethiopia-transition-proposal-as-protestors-plan/;https://allafrica.com/stories/201906300044.html;https://www.africanews.com/2019/05/20/sudan-s-president-bashir-steps-down-govt-sources/,0,M
SUD201907-3,Sudan,625,,Khartoum,Sudan,32.5,15.6,11,7,2019,United States,CON_3,CON_3,2,1,H,Tibor Nagy,,Transitional Military Council; Forces for Freedom and Change,PAAX; NL,,0,,0,,,"June 11, 2019 (KHARTOUM) – U.S. Assistant Secretary for African Affairs Tibor Nagy will hold talks with Sudanese stakeholders on Wednesday to encourage the resumption of talks over power transfer to a civilian government.Nagy’s visit to Khartoum comes within an African tour from 12 to 23 June to Sudan, Mozambique, and South Africa to discuss bilateral relations and to highlight the importance of democracy, human rights “In Sudan, he will meet with members of the Forces for Freedom and Change (FFC) and the Transitional Military Council,” said a statement released by the State Department..",http://www.sudantribune.com/spip.php?article65773,0,MR
SUD201907-4,Sudan,625,,Khartoum,Sudan,32.5,15.6,12,7,2019,Finland; EU,CON_171;IGO_5,CON_171;IGO_5,375;,2,P,Pekka Haavisto,,Transitional Military Council; Forces for Freedom and Change,PAAX; NL,Abdel Fattah al-Burhan; Mohamed Hamdan Dagalo,2+,1,0,,,"Finnish Foreign Minister Pekka Haavisto arrived in Khartoum for a one-day visit to meet with various Sudanese and international stakeholders on behalf of the European Union. This visit comes at a pivotal time following the recent agreement between Sudan’s Transitional Military Council (TMC) and the Alliance for Freedom and Change. Haavisto expressed gratitude for the African Union and Ethiopian mediation efforts and emphasized the need for continued negotiations to resolve outstanding issues and facilitate a swift transition to a civilian government.On his arrival, Haavisto highlighted the importance of a peaceful and orderly civilian transition as the only viable solution to Sudan's current crisis. He stated, “The agreement reached last week represents a crucial step in the right direction. The European Union stands ready to support Sudan at this crucial moment in its history.”During his visit, Haavisto was received by Lt Gen Abdelfattah El Burhan, Chairman of the TMC, and Lt Gen Mohamed Hamdan ‘Hemeti’, Deputy Chairman of the TMC, at the Republican Palace. The meetings were described as constructive and fruitful, with Haavisto conveying EU's strong messages of support and encouraging both sides to continue their negotiations.Following his visit to Sudan, Haavisto will travel to Ethiopia, Egypt, Saudi Arabia, and the United Arab Emirates to further discuss the situation in Sudan and continue his diplomatic efforts.Haavisto will brief the EU's Foreign Affairs Council (FAC) in Brussels on Monday, reporting on the developments in Sudan and neighbouring countries. His visit underscores the EU’s commitment to supporting Sudan's transition and addressing the region's complex challenges.",https://yle.fi/uutiset/osasto/news/haavisto_to_brief_eu_ministers_on_sudan_finnish_presidency_goals/10877180;https://www.dabangasudan.org/en/all-news/article/sudan-s-junta-heads-receive-eu-envoy-in-khartoum;http://www.sudantribune.com/spip.php?article65905,0,MR
SUD201907-5,Sudan,625,,Cairo,Egypt,31.2358,30.0444,16,7,2019,EU; League of Arab States; Finland,IGO_5;IGO_346;CON_171,IGO_5;IGO_346;CON_171,;;375,3,H,Pekka Haavisto; Ahmed Aboul Gheit,,,,,0,,0,,,"On Tuesday, Arab League Secretary-General Ahmed Aboul Gheit, and Finland’s Foreign Minister Pekka Haavisto, who is currently visiting Cairo, discussed the latest developments in the situation in Sudan and the ongoing negotiations between the Sudanese parties to agree on arrangements for the political transition in the country.An official source at the office of the UN Secretary-General said that Aboul Gheit briefed the Finnish minister, whose country holds the rotating presidency of the European Union and is currently on a regional tour on behalf of the EU countries, on the situation in Sudan, on the overall efforts of the Arab League to support Sudan in this delicate phase and the support of the Sudanese parties in the process of reaching a broad national consensus leading to agreement on arrangements for the Peaceful and disciplined transfer of power in the country.The two sides also discussed means of enhancing regional and international support for Sudan to enable it to address the challenges facing it and to pass the transitional phase in a way that meets the aspirations of the Sudanese people and spectrum, including calling for the lifting of Sudan’s name from the list of countries sponsoring terrorism and the mobilisation of economic and development assistance and to relieve it of the burden of external debts.",https://www.dabangasudan.org/en/all-news/article/eu-envoy-discusses-sudan-with-arab-league,0,MR
SUD201907-6,Sudan,625,,Khartoum,Sudan,32.5,15.6,17,7,2019,African Union; Ethiopia; United States; EU; UN; IGAD; League of Arab States,IGO_87;CON_159;CON_3;IGO_5;IGO_49;IGO_312;IGO_346,IGO_87;CON_159;CON_3;IGO_5;IGO_49;IGO_312;IGO_346,;530;2;;;;,7,H,Mahmud Dirir; Mohamed El-Hacen Ould Lebatt,Joint AU-Ethiopian-IGAD Process,Transitional Military Council; Forces for Freedom and Change,PAAX; NL,Mohamed Hamdan Dagalo,2+,1,1,"Political (Declaration) Agreement
",2394,"After months of intense negotiations, Sudan's military and the alliance of protesters and opposition groups have signed a significant power-sharing agreement. The initial document, known as the ""Political Declaration,"" was agreed upon after a night of detailed discussions. Mohamed Hamdan Daglo, deputy chief of the ruling Transitional Military Council (TMC), and Ibrahim al-Amin from the protest movement, both marked the occasion as a ""historic moment"" for Sudan.The agreement, brokered by the African Union and Ethiopian mediators, establishes a new transitional civilian-military ruling body designed to navigate Sudan through its political crisis. The deal stipulates a governing body with six civilians and five military representatives, aiming to address the country's prolonged instability following the ousting of former President Omar al-Bashir in April. The six civilian members will include five from the Alliance for Freedom and Change.Ethiopian mediator Mahmud Dirir emphasized the need for Sudan to overcome poverty and called for the removal of Sudan from the U.S. list of state sponsors of terrorism. The formal signing ceremony, which was attended by international observers including representatives from the United States, the European Union, the United Nations, the Intergovernmental Authority on Development, and the Arab League, marks a crucial step toward a political transition.While the Political Declaration is a landmark achievement, both sides will continue negotiations on the ""Constitutional Declaration,"" expected to be signed soon. This ongoing dialogue is essential for finalizing the framework for Sudan’s transition to a new government....""July 17: Sudan military, protesters reach dealSudan’s military and the alliance of protesters and opposition groups signed a political accord on Wednesday as part of a power-sharing deal aimed at leading the country nation to democracy.The agreement was signed in Khartoum in the presence of African mediators following a night of talks to iron out some details of the agreement reached earlier this month.The deal is meant to pave the way to a political transition in Sudan after military leaders ousted former President Omar al-Bashir in April following weeks of protests against him.“We want a stable homeland, because we have suffered a great deal,” Ibrahim al-Amin, a leader in the opposition Forces for Freedom and Change coalition, said after the ceremony.The landmark power sharing deal, which was agreed on July 5, has been brokered by African Union and Ethiopian mediators after intense negotiations between the protest umbrella group and ruling generals.Ethiopian mediator Mahmud Dirir said Sudan needed to overcome poverty and called for the country to be taken of a U.S. list of states that support terrorism....The Transitional Military Council and the Declaration of Freedom and Change forces agree to set up transitional institutions: the Sovereignty Council, Council of Ministers, Legislative Council, and the Investigation Committee. They also set out a list of agreed aims for these institutions. Finally, they invite international actors (states and organisations) to support the implementation of the agreement - but there is no agreement or commitment on provision of said aid.The sides are still working on a constitutional declaration, which is expected to be signed on Friday""",https://www.pulse.com.gh/news/world/sudan-protesters-army-rulers-ink-power-sharing-deal-afp/f0f9kb2;http://www.africanews.com/2019/07/17/sudan-s-president-bashir-steps-down-govt-sources/;http://awate.com/dr-abiy-african-union-succeed-sudan/;https://www.atlanticcouncil.org/blogs/africasource/sudan-s-power-sharing-deal-an-exercise-in-optimism;https://www.africanews.com/2019/04/13/sudan-s-president-bashir-steps-down-govt-sources/;https://www.peaceagreements.org/view/2243;https://www.dabangasudan.org/en/all-news/article/this-week-s-news-in-brief-172;http://www.arabnews.com/node/1520146/middle-east;http://www.digitaljournal.com/news/world/sudan-protesters-agree-to-direct-talks-with-ruling-generals/article/553295;http://www.arabnews.com/node/1519541/middle-east;http://www.china.org.cn/world/Off_the_Wire/2019-07/03/content_74946261.htm;https://www.alaraby.co.uk/english/news/2019/7/3/sudan-protesters-military-resume-talks-over-civilian-rule;https://www.timesnownews.com/international/article/sudan-protesters-generals-resume-talks-over-civilian-rule/448185;https://www.yenisafak.com/en/news/sudanese-protesters-resume-talks-with-army-after-deadlock-3484804;https://www.france24.com/en/20190704-sudan-talks-enter-day-two-key-issue-still-unresolved;https://www.upi.com/Top_News/World-News/2019/07/05/Military-civilians-to-share-power-in-Sudan-until-elections-in-2022/2531562321631/;http://www.marxist.com/sudan-no-to-a-rotten-compromise.htm;https://morningstaronline.co.uk/article/w/deadlock-broken-sudan-parties-agree-transitional-government;https://www.africanews.com/2019/07/12/au-claims-breakthrough-in-sudan-;https://www.wkms.org/post/sudanese-leaders-reach-power-sharing-agreement;https://countervortex.org/node/16395talks/;https://menafn.com/1098753251/AU-claims-breakthrough-in-Sudan-talks;http://global.chinadaily.com.cn/a/201907/14/WS5d2a233ea3105895c2e7d4b9.html;https://24tanzania.com/uganda-ready-to-help-in-darfur-conflict/;https://www.dabangasudan.org/en/all-news/article/coordination-mechanism-on-unamid-situation-in-darfur-improved-significantly;https://www.africa-newsroom.com/press/note-to-correspondents-on-joint-united-nationsafrican-union-visit-to-sudan-central-african-republic-and-ethiopia;https://reliefweb.int/report/sudan/coordination-mechanism-unamid-situation-darfur-improved-significantly;https://www.africanews.com/2019/05/16/sudan-s-president-bashir-steps-down-govt-sources/;http://www.arabnews.com/node/1525121;https://www.apnews.com/26b4be7bb363488891b420da9ebe4871;https://www.dabangasudan.org/en/all-news/article/sudan-presentation-of-draft-document-of-agreement-expected-today;http://www.xinhuanet.com/english/2019-07/14/c_138224414.htm,0,M
SUD201907-7,Sudan,625,,Addis Ababa,Ethiopia,38.74,9.03,17,7,2019,Ethiopia,CON_159,CON_159,530,1,H,,Joint AU-Ethiopian-IGAD Process,Sudan Revolutionary Front; Forces for Freedom and Change,NL; NL,Mohamed Zakaria Farajalla,2+,1,0,,,"However, SRF spokesman Mohamed Zakaria Farajalla told Sudan Tribune on Wednesday that the Front was surprised by the initialization of the agreement between the two parties while it was engaged in consultations meetings with a delegation of their allies in the FFC in the Ethiopian capital on ways to achieve peace.He said that the agreement reached by the FFC political and armed groups in Addis Ababa provides to include the SRF vision in the political and constitutional agreements with the Military Council.“It is not understandable that the deliberations of Addis Ababa meeting are in their final stage and the FFC negotiating team inside the country concludes the agreement without waiting for the outcome of Addis meetings to be included in the agreement.”",http://sudantribune.com/spip.php?article65927,0,M
SUD201907-8,Sudan,625,,Saudi Arabia,Saudi Arabia,45,25,17,7,2019,United States; Saudi Arabia; UAE,CON_3;CON_419;CON_591,CON_3;CON_419;CON_591,2;670;696,3,P,Abdel al-Jubeir; Donald Booth,,,,,0,,0,,,"July 17, 2019 (KHARTOUM) – The Saudi State Minister for Foreign Affairs discussed the political transition in Sudan and the region with the U.S. Deputy Assistant Secretary for Arabian Gulf Affairs and US Envoy for Sudan Donald Booth.The official Saudi news agency reported that Minister Adel Al Jubeir met with Timothy Lenderking, and Donald Booth on Wednesday to discuss “a number of regional and international issues of common interest”.Pressed by lawmakers in the Congress and the Senate, the State Department officials hold regular meetings on Sudan with the Saudi Arabia and the United Arab Emirates seeking to coordinate efforts to ensure peaceful power transition in Sudan.",http://www.sudantribune.com/spip.php?article65929,0,MR
SUD201907-9,Sudan,625,,unknown,,,,18,7,2019,United States; United Kingdom; Norway,CON_3;CON_19;CON_81,CON_3;CON_19;CON_81,2;200;385,3,P,,Ethiopian-led IGAD Process; Troika,Transitional Military Council,PAAX,,2+,1,0,,,"July 18, 2019 (KHARTOUM) – The Troika countries, Norway the UK and the US welcomed the agreement on a political document by the Transitional Military Council and the Forces for Freedom and Change (FFC) on Wednesday.The document establishes the structures of the transitional authority and defines the broad responsibilities for a transitional government during the upcoming three years ahead of general elections.“We encourage the parties to quickly conclude the parallel constitutional agreement and form the civilian-led transitional government, which the Sudanese people have courageously and peacefully demanded since December 2018,” further stressed the statement.",http://www.sudantribune.com/spip.php?article65935,0,MR
SUD201907-10,Sudan,625,,Juba,South Sudan,31.6,4.85,27,7,2019,South Sudan,CON_173,CON_173,626,1,H,Salva Kiir,Juba Peace Process,Transitional Military Council; SPLM/A-North - MA; Forces for Freedom and Change,PAAX;6792; NL,,2+,1,1,"Agreement on Confidence-Building Measures
",,"July 27, 2019 (JUBA/KHARTOUM) – The Transitional Military Council (TMC) agreed with the Sudan People’s Liberation Movement-North Malik Agar (SPLM-N Agar) on confidence-building measures, including the Humanitarian access, in preparation of a comprehensive peace process that Sudanese agreed to hold during the transitional period.SPLM-N leader Malik Agar (L) talks to reporters in Juba with TMC deputy leader Mohamed Hamdan Daglo on 27 July 2019 (ST Photo)A joint delegation from the Junta and the Forces for Freedom and Change (FFC) travelled to Juba on Saturday as it was officially announced that they intend to meet the SPLM-N faction led by Abdel Aziz al-Hilu which is not part of the opposition coalition.However, the delegation met with Malik Agar, the leader of the other SPLM-N faction, upon the demand of President Salva Kiir according to a letter the former sent to his allies in the FFC saying he had been requested by the South Sudanese leader to come to Juba “for an urgent matter”.Late during the night, the official news agency SUNA reported that the TMC deputy chairman who is also the head of the peace committee Mohamed Hamdan Dalgo (Hemetti) agreed with Agar to release the political detainees, cancellation of the death penalty against Agar and his deputy Yasir Arman issued by the former regime and to open Humanitarian corridors to allow the safe transit of Humanitarian assistance to civilian in the conflict zones....""Sudanese generals and protest leaders, who signed a power-sharing agreement, held preliminary talks with rebel groups in the South Sudanese capital, Juba, as part of ongoing peace efforts. The meeting, which followed a recent agreement between protest leaders and their rebel partners, aimed to address differences over the accord signed with Sudan’s military rulers earlier this month and to focus on how to implement the peace agreement.General Mohamed Hamdan Daglo, deputy chief of Sudan’s ruling military council, arrived in Juba and expressed hopes that the talks would help """"restore peace"""" and advance the implementation of the recent Khartoum agreement. The discussions included rebel leaders Abdelaziz al-Hilu of South Kordofan State and Malik Agar of Blue Nile State. The power-sharing accord signed on July 17, which provides for a transitional civilian administration, marked a significant step following the ouster of longtime dictator Omar al-Bashir.The talks were intended to open Humanitarian corridors to war-affected areas and addressed issues such as the release of political detainees and prisoners of war. Despite some progress, the Sudan People's Liberation Movement (SPLM) dismissed the negotiations, demanding that a document between the ruling generals and the protest movement prioritize peace negotiations and include rebel representatives in the transitional government.The TMC's delegation, including General Daglo and his team, concluded their visit to South Sudan without reaching a final agreement with SPLM, highlighting the ongoing challenges in the peace process.""",http://sudantribune.com/spip.php?article65984;https://www.financialexpress.com/world-news/sudan-generals-protest-leaders-meet-rebel-chiefs-in-south-sudan/1658558/;https://tribune.com.pk/story/2023177/3-sudan-generals-protest-leaders-meet-rebel-chiefs-s-sudan/;http://www.xinhuanet.com/english/2019-07/28/c_138264994.htm;http://www.taipeitimes.com/News/world/archives/2019/07/29/2003719547;http://www.jordantimes.com/news/region/sudan%C2%A0generals-protest-leaders-meet-rebel-chief-south-sudan;https://www.albawaba.com/news/sudan-opposition-cancels-peace-negotiations-govt-formation-1300036,0,M
SUD201907-11,Sudan,625,,Juba,South Sudan,31.6,4.85,27,7,2019,South Sudan,CON_173,CON_173,626,1,H,Salva Kiir,Juba Peace Process,Transitional Military Council; Forces for Freedom and Change,PAAX; NL,,2+,1,0,,,"July 27, 2019 (JUBA/KHARTOUM) – The Transitional Military Council (TMC) agreed with the Sudan People’s Liberation Movement-North Malik Agar (SPLM-N Agar) on confidence-building measures, including the Humanitarian access, in preparation of a comprehensive peace process that Sudanese agreed to hold during the transitional period.SPLM-N leader Malik Agar (L) talks to reporters in Juba with TMC deputy leader Mohamed Hamdan Daglo on 27 July 2019 (ST Photo)A joint delegation from the Junta and the Forces for Freedom and Change (FFC) travelled to Juba on Saturday as it was officially announced that they intend to meet the SPLM-N faction led by Abdel Aziz al-Hilu which is not part of the opposition coalition.However, the delegation met with Malik Agar, the leader of the other SPLM-N faction, upon the demand of President Salva Kiir according to a letter the former sent to his allies in the FFC saying he had been requested by the South Sudanese leader to come to Juba “for an urgent matter”.Late during the night, the official news agency SUNA reported that the TMC deputy chairman who is also the head of the peace committee Mohamed Hamdan Dalgo (Hemetti) agreed with Agar to release the political detainees, cancellation of the death penalty against Agar and his deputy Yasir Arman issued by the former regime and to open Humanitarian corridors to allow the safe transit of Humanitarian assistance to civilian in the conflict zones....""Sudanese generals and protest leaders, who signed a power-sharing agreement, held preliminary talks with rebel groups in the South Sudanese capital, Juba, as part of ongoing peace efforts. The meeting, which followed a recent agreement between protest leaders and their rebel partners, aimed to address differences over the accord signed with Sudan’s military rulers earlier this month and to focus on how to implement the peace agreement.General Mohamed Hamdan Daglo, deputy chief of Sudan’s ruling military council, arrived in Juba and expressed hopes that the talks would help """"restore peace"""" and advance the implementation of the recent Khartoum agreement. The discussions included rebel leaders Abdelaziz al-Hilu of South Kordofan State and Malik Agar of Blue Nile State. The power-sharing accord signed on July 17, which provides for a transitional civilian administration, marked a significant step following the ouster of longtime dictator Omar al-Bashir.The talks were intended to open Humanitarian corridors to war-affected areas and addressed issues such as the release of political detainees and prisoners of war. Despite some progress, the Sudan People's Liberation Movement (SPLM) dismissed the negotiations, demanding that a document between the ruling generals and the protest movement prioritize peace negotiations and include rebel representatives in the transitional government.The TMC's delegation, including General Daglo and his team, concluded their visit to South Sudan without reaching a final agreement with SPLM, highlighting the ongoing challenges in the peace process.""",http://sudantribune.com/spip.php?article65984;https://www.financialexpress.com/world-news/sudan-generals-protest-leaders-meet-rebel-chiefs-in-south-sudan/1658558/;https://tribune.com.pk/story/2023177/3-sudan-generals-protest-leaders-meet-rebel-chiefs-s-sudan/;http://www.xinhuanet.com/english/2019-07/28/c_138264994.htm;http://www.taipeitimes.com/News/world/archives/2019/07/29/2003719547;http://www.jordantimes.com/news/region/sudan%C2%A0generals-protest-leaders-meet-rebel-chief-south-sudan;https://www.albawaba.com/news/sudan-opposition-cancels-peace-negotiations-govt-formation-1300036,0,M
